transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
C18-neg_QI545--->C18-neg_QI551,M+1,0.9839999999999804,0.019354837800019453,C18-neg_QI545,130.086,1,C18-neg_QI551,131.07,1.02,C18-neg
C18-neg_QI160--->C18-neg_QI545,[M+CH4CN]+,42.04730000000001,0.013474446189079003,C18-neg_QI160,88.0387,1.03,C18-neg_QI545,130.086,1,C18-neg
C18-neg_QI545--->C18-neg_QI1259,[M+HCOO]-,44.9272,0.0710028512590739,C18-neg_QI545,130.086,1,C18-neg_QI1259,175.0132,1.08,C18-neg
C18-neg_QI545--->C18-neg_QI1258,[M+HCOO]-,44.927099999999996,0.07110285125907723,C18-neg_QI545,130.086,1,C18-neg_QI1258,175.0131,1.21,C18-neg
C18-neg_QI545--->C18-neg_QI1095,[M+Cl]-,34.93209999999999,0.03730125990907851,C18-neg_QI545,130.086,1,C18-neg_QI1095,165.0181,1.24,C18-neg
C18-neg_QI545--->C18-neg_QI552,M+1,0.9950999999999794,0.008254837800020454,C18-neg_QI545,130.086,1,C18-neg_QI552,131.0811,1.28,C18-neg
C18-neg_QI545--->C18-neg_QI526,[M-H]-,-1.0317000000000007,0.024423547679070623,C18-neg_QI545,130.086,1,C18-neg_QI526,129.0543,1.32,C18-neg
C18-neg_QI545--->C18-neg_QI1257,[M+HCOO]-,44.899899999999974,0.0983028512590991,C18-neg_QI545,130.086,1,C18-neg_QI1257,174.9859,1.35,C18-neg
C18-neg_QI161--->C18-neg_QI553,[M+CH4CN]+,42.05839999999999,0.024574446189063792,C18-neg_QI161,89.0228,1,C18-neg_QI553,131.0812,1,C18-neg
C18-neg_QI553--->C18-neg_QI539,[M-H]-,-1.0315999999999974,0.024323547679067303,C18-neg_QI553,131.0812,1,C18-neg_QI539,130.0496,1,C18-neg
C18-neg_QI545--->C18-neg_QI553,M+1,0.9951999999999828,0.008154837800017134,C18-neg_QI545,130.086,1,C18-neg_QI553,131.0812,1,C18-neg
C18-neg_QI553--->C18-neg_QI554,M+1,0.9475999999999942,0.055754837800005674,C18-neg_QI553,131.0812,1,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI553--->C18-neg_QI1262,[M+HCOO]-,44.9563,0.041902851259074225,C18-neg_QI553,131.0812,1,C18-neg_QI1262,176.0375,1.1,C18-neg
C18-neg_QI542--->C18-neg_QI553,M+1,0.9953999999999894,0.007954837800010495,C18-neg_QI542,130.0858,1.27,C18-neg_QI553,131.0812,1,C18-neg
C18-neg_QI541--->C18-neg_QI553,M+1,0.9954999999999927,0.007854837800007175,C18-neg_QI541,130.0857,1.3,C18-neg_QI553,131.0812,1,C18-neg
C18-neg_QI543--->C18-neg_QI553,M+1,0.9952999999999861,0.008054837800013814,C18-neg_QI543,130.0859,1.35,C18-neg_QI553,131.0812,1,C18-neg
C18-neg_QI544--->C18-neg_QI553,M+1,0.9952999999999861,0.008054837800013814,C18-neg_QI544,130.0859,1.43,C18-neg_QI553,131.0812,1,C18-neg
C18-neg_QI553--->C18-neg_QI555,M+1,0.9628000000000156,0.040554837799984256,C18-neg_QI553,131.0812,1,C18-neg_QI555,132.044,1.46,C18-neg
C18-neg_QI548--->C18-neg_QI553,M+1,0.9951999999999828,0.008154837800017134,C18-neg_QI548,130.086,1.5,C18-neg_QI553,131.0812,1,C18-neg
C18-neg_QI190--->C18-neg_QI554,[M+Cl]-,35.06089999999999,0.09149874009091974,C18-neg_QI190,96.9679,1,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI553--->C18-neg_QI554,M+1,0.9475999999999942,0.055754837800005674,C18-neg_QI553,131.0812,1,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI1219,[M+K]+,39.04730000000001,0.08414189990907772,C18-neg_QI554,132.0288,1,C18-neg_QI1219,171.0761,1,C18-neg
C18-neg_QI554--->C18-neg_QI1412,[M+CH3COO]-,58.9898,0.02405291571906787,C18-neg_QI554,132.0288,1,C18-neg_QI1412,191.0186,1,C18-neg
C18-neg_QI554--->C18-neg_QI929,[M+Na]+,22.897999999999996,0.09122070099093449,C18-neg_QI554,132.0288,1,C18-neg_QI929,154.9268,1.01,C18-neg
C18-neg_QI554--->C18-neg_QI1255,[M+CH4CN]+,42.010700000000014,0.023125553810913857,C18-neg_QI554,132.0288,1,C18-neg_QI1255,174.0395,1.01,C18-neg
C18-neg_QI132--->C18-neg_QI554,[M+HCOO]-,45.021699999999996,0.02349714874092257,C18-neg_QI132,87.0071,1.02,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI551--->C18-neg_QI554,M+1,0.9587999999999965,0.044554837800003355,C18-neg_QI551,131.07,1.02,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI159--->C18-neg_QI554,[M+HCOO]-,44.985299999999995,0.012902851259077863,C18-neg_QI159,87.0435,1.03,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI1220,[M+K]+,39.04740000000001,0.08424189990908104,C18-neg_QI554,132.0288,1,C18-neg_QI1220,171.0762,1.05,C18-neg
C18-neg_QI135--->C18-neg_QI554,[M+HCOO]-,45.021699999999996,0.02349714874092257,C18-neg_QI135,87.0071,1.11,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI1222,[M+K]+,39.04770000000002,0.084541899909091,C18-neg_QI554,132.0288,1,C18-neg_QI1222,171.0765,1.11,C18-neg
C18-neg_QI554--->C18-neg_QI1212,[M+K]+,38.9143,0.048858100090932055,C18-neg_QI554,132.0288,1,C18-neg_QI1212,170.9431,1.13,C18-neg
C18-neg_QI141--->C18-neg_QI554,[M+HCOO]-,45.021699999999996,0.02349714874092257,C18-neg_QI141,87.0071,1.14,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI1256,[M+CH4CN]+,42.01090000000002,0.022925553810907218,C18-neg_QI554,132.0288,1,C18-neg_QI1256,174.0397,1.15,C18-neg
C18-neg_QI554--->C18-neg_QI1221,[M+K]+,39.04740000000001,0.08424189990908104,C18-neg_QI554,132.0288,1,C18-neg_QI1221,171.0762,1.16,C18-neg
C18-neg_QI146--->C18-neg_QI554,[M+HCOO]-,45.021699999999996,0.02349714874092257,C18-neg_QI146,87.0071,1.17,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI1129,[M+Cl]-,34.89420000000001,0.07520125990905768,C18-neg_QI554,132.0288,1,C18-neg_QI1129,166.923,1.22,C18-neg
C18-neg_QI140--->C18-neg_QI554,[M+HCOO]-,45.021699999999996,0.02349714874092257,C18-neg_QI140,87.0071,1.23,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI1213,[M+K]+,38.9143,0.048858100090932055,C18-neg_QI554,132.0288,1,C18-neg_QI1213,170.9431,1.25,C18-neg
C18-neg_QI554--->C18-neg_QI1134,[M+Cl]-,34.894300000000015,0.07510125990905436,C18-neg_QI554,132.0288,1,C18-neg_QI1134,166.9231,1.26,C18-neg
C18-neg_QI342--->C18-neg_QI554,[M+Na]+,23.000799999999984,0.011579299009053301,C18-neg_QI342,109.028,1.27,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI1411,[M+CH3COO]-,58.952200000000005,0.061652915719065504,C18-neg_QI554,132.0288,1,C18-neg_QI1411,190.981,1.27,C18-neg
C18-neg_QI552--->C18-neg_QI554,M+1,0.9476999999999975,0.055654837800002355,C18-neg_QI552,131.0811,1.28,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI2153,[M+CF3COO]-,112.98320000000001,0.002387479029067663,C18-neg_QI554,132.0288,1,C18-neg_QI2153,245.012,1.29,C18-neg
C18-neg_QI138--->C18-neg_QI554,[M+HCOO]-,45.021699999999996,0.02349714874092257,C18-neg_QI138,87.0071,1.31,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI167--->C18-neg_QI554,[M+K]+,38.99579999999999,0.03264189990905919,C18-neg_QI167,93.033,1.35,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI554--->C18-neg_QI1254,[M+CH4CN]+,41.96460000000002,0.06922555381090945,C18-neg_QI554,132.0288,1,C18-neg_QI1254,173.9934,1.35,C18-neg
C18-neg_QI133--->C18-neg_QI554,[M+HCOO]-,45.021699999999996,0.02349714874092257,C18-neg_QI133,87.0071,1.41,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI341--->C18-neg_QI554,[M+Na]+,23.000799999999984,0.011579299009053301,C18-neg_QI341,109.028,1.43,C18-neg_QI554,132.0288,1,C18-neg
