id	mass	RT	rep1	rep2	rep3	filteredIdentification
44	205.09706739371236	791.5060017903646	2629572.5	6778014.5	1314508.125	StdMix1_14, L-Tryptophan, M+H, [12C]11[1H]13[14N]2[16O]2, 1.00000
45	309.1842209091712	823.72998046875	6644846.5	4874681.5	3922009.25	junk, 0.99500; junk, 0.00500
46	136.06176400906904	901.2579956054688	3293931.0	6633999.5	3730082.25	StdMix1_21, Adenine, M+H, [12C]5[1H]6[14N]5, 1.00000
47	170.0810240948804	983.9319864908854	2549906.0	6594693.0	4321519.0	StdMix1_98, 3-Hydroxyphenylacetate, M+NH4, [12C]8[1H]12[14N]1[16O]3, 0.37500; StdMix1_7, 4-Aminobenzoate, M+CH3OH+H, [12C]8[1H]12[14N]1[16O]3, 0.33500; StdMix1_19, Pyridoxine, M+H, [12C]8[1H]12[14N]1[16O]3, 0.29000
48	189.12327880383816	1070.7233479817708	6583211.0	5075049.0	2451715.25	StdMix1_27, N2-Acetyl-L-lysine, M+H, [12C]8[1H]17[14N]2[16O]3, 1.00000
49	102.0338518069862	2455.18505859375	6504587.5		3619460.5	junk, 1.00000
50	234.13360819610776	758.3909912109375	6331380.0		1541951.125	
51	167.01275338146573	2183.5833333333335	6281638.5	3940281.25	4547176.0	
52	167.01278155405893	2188.3050537109375	6139776.0		4480708.5	
53	102.03383862189968	2477.6533203125	6094216.0	3245574.0	3463801.75	junk, 1.00000
54	114.06617673955093	1042.9033610026042	6397934.5	8503391.0	5824748.0	StdMix1_26, Creatinine, M+H, [12C]4[1H]8[14N]3[16O]1, 1.00000
55	102.03382432306657	2317.4599609375		5801522.5		junk, 0.95500; junk, 0.04500
56	122.5470956889591	2202.0150146484375	5675303.5		3362535.75	junk, 0.99500; junk, 0.00500
57	170.08102494176242	959.64599609375		5595895.5		StdMix1_19, Pyridoxine, M+H, [12C]8[1H]12[14N]1[16O]3, 0.42000; StdMix1_98, 3-Hydroxyphenylacetate, M+NH4, [12C]8[1H]12[14N]1[16O]3, 0.36500; StdMix1_7, 4-Aminobenzoate, M+CH3OH+H, [12C]8[1H]12[14N]1[16O]3, 0.19000; junk, 0.02000; junk, 0.00500
58	124.03930440370794	441.0449930826823	5548286.0	1434675.625	4211610.5	StdMix1_8, Nicotinate, M+H, [12C]6[1H]6[14N]1[16O]2, 1.00000
59	118.0862021850914	880.3579915364584	2498241.5	5477391.0	2951643.5	StdMix1_20, L-Valine, M+H, [12C]5[1H]12[14N]1[16O]2, 1.00000
60	102.0338314298681	2341.0799560546875		5400676.5	5608476.5	junk, 1.00000
61	102.03383997588908	2508.0133463541665	5281339.5	2942724.25	3207199.75	junk, 1.00000
62	102.03383894504798	2533.32666015625	5267555.5	3007951.25	2957382.75	junk, 1.00000
63	102.03383951602814	2018.393310546875	5002267.0	3236769.5	2762998.25	junk, 0.92000; junk, 0.08000
64	102.03383741622521	2551.2366536458335	4981333.5	2840462.75	2957382.75	junk, 1.00000
65	122.54709559723959	2216.905029296875	4916261.0		3362535.75	junk, 1.00000
66	132.06548712526595	996.6193440755209	4907124.0	2384867.5	1717052.25	StdMix1_25, trans-4-Hydroxy-L-proline, M+H, [12C]5[1H]10[14N]1[16O]3, 0.59000; StdMix1_104, glyceraldehyde, M+ACN+H, [12C]5[1H]10[14N]1[16O]3, 0.41000
67	102.03383709092661	2587.9966634114585	4697743.0	2572121.5	2745082.75	junk, 1.00000
68	182.9851081782272	2037.586669921875	4669101.0	2020166.875	782331.375	11141798, 1-hydroxypentylidenemolybdenum, M+H, [12C]5[1H]11[16O]1[96Mo]1, 0.96000; junk, 0.04000
69	144.06547917872004	557.7133382161459	4643884.0	3053841.0	2577473.75	StdMix1_88, 2-oxobutanoate, M+ACN+H, [12C]6[1H]10[14N]1[16O]3, 1.00000
70	102.03387407673573	2874.68994140625	4614116.5			junk, 1.00000
71	127.05017605545449	981.5999959309896	4604959.0	3113991.75	2282167.0	StdMix1_2, Imidazole-4-acetate, M+H, [12C]5[1H]7[14N]2[16O]2, 1.00000
72	102.0338335330094	2625.4466959635415	4545838.5	2503418.75	2548450.0	junk, 1.00000
73	102.03387492545157	2801.02001953125	4522059.5			junk, 0.71500; junk, 0.28500
74	167.01275396937348	2245.6233723958335	4471216.0	2425343.0	3097508.5	
75	102.03383455462502	2756.336669921875	4446699.5	2438926.25	2566475.0	junk, 1.00000
76	102.03387087877854	2811.77001953125	4435742.5			junk, 1.00000
77	102.0338746358362	2859.3798828125	4424608.5			junk, 1.00000
78	81.52047668551693	2112.92333984375	4345820.5	2088688.125	2370033.75	junk, 1.00000
79	81.52052492121592	2107.06005859375	4345820.5			junk, 0.51000; junk, 0.49000
80	102.03383725899995	2732.3833821614585	4317907.0	2437887.5	2540008.0	junk, 0.99500; junk, 0.00500
81	122.5470917416479	2249.4849853515625	4277779.5		2820581.0	junk, 1.00000
82	102.03386690607188	2733.820068359375	4249566.0			junk, 0.71500; junk, 0.28500
83	102.03383415225187	2701.9266764322915	4194281.75	2409706.25	2493102.0	junk, 1.00000
84	81.52052755226694	2117.340087890625	4192751.25			junk, 0.81000; junk, 0.19000
85	102.03383357695742	2665.7399088541665	4162671.25	2346372.75	2513091.25	junk, 1.00000
86	102.03385425830452	57.44590187072754	4113009.75		3413845.0	junk, 1.00000
87	102.03385221130439	57.44590187072754	4113009.75		3413845.0	junk, 1.00000
88	102.03385748094365	37.34774971008301	4113009.75		2880710.75	junk, 1.00000
89	102.03383190621997	1977.1133219401042	3958831.75	2524639.0	2639464.25	junk, 0.88500; junk, 0.11500
90	102.03383444621294	1944.806640625	3951943.5	2394006.25	2607221.25	junk, 1.00000
91	245.0632087687168	500.51600138346356	3932653.75	1747101.5	1840149.5	144019, 3-ethenylsulfanylpropyl(trimethoxy)silane, M+Na, [12C]8[1H]18[16O]3[32S]1[23Na]1[28Si]1, 1.00000
92	245.06328203564345	500.7270050048828	3932653.75		1823012.5	144019, 3-ethenylsulfanylpropyl(trimethoxy)silane, M+Na, [12C]8[1H]18[16O]3[32S]1[23Na]1[28Si]1, 1.00000
93	122.54709188201778	2258.43994140625	3888511.25		2820581.0	junk, 1.00000
94	102.03384275208361	8.200509031613668	3885063.5	3114769.25	3023359.75	junk, 1.00000
95	167.0127514470739	2275.3365885416665	3875594.0	1991540.75	2398124.0	
96	151.03521182140707	2054.9666748046875	3858713.25	3355816.75	2722970.5	junk, 1.00000
97	170.01182313227972	989.3199869791666	3835794.75	3154041.25	1781510.125	StdMix1_77, L-Cysteate, M+H, [12C]3[1H]8[14N]1[16O]5[32S]1, 1.00000
98	258.1101065236475	1190.5366617838542	3810017.5	1587882.125	708019.9375	StdMix1_39, sn-glycero-3-Phosphocholine, M+H, [12C]8[1H]21[14N]1[16O]6[31P]1, 1.00000
99	122.54709183485556	2275.14990234375	3792453.75		2543640.25	junk, 1.00000
100	151.03522918074452	2060.3299560546875	3774564.75		2722970.5	junk, 0.85500; junk, 0.14500
101	122.54709153893268	2306.6099853515625	3722499.0		2134483.0	junk, 1.00000
102	122.54709676092975	2201.1300048828125	5561102.0		3718254.25	junk, 1.00000
103	167.01274700955818	2300.9599609375	3691370.0	1942592.875	1980585.75	
104	81.52050801288601	2128.5499267578125	3682295.5		2370033.75	junk, 1.00000
105	102.03383539603344	1903.6233317057292	3591691.5	2334487.0	2392893.25	junk, 1.00000
106	144.06547485213295	574.6623128255209	3504243.25	956473.625	2234232.25	StdMix1_88, 2-oxobutanoate, M+ACN+H, [12C]6[1H]10[14N]1[16O]3, 1.00000
107	94.04513356786974	2107.223388671875	3497421.25	2490136.75	4485512.5	
108	102.03383830992038	1870.8466389973958	3435547.75	2279562.0	2273718.5	junk, 1.00000
109	244.09276247071514	1172.8533528645833	3423962.5	1987507.375	1162338.25	StdMix1_36, Cytidine, M+H, [12C]9[1H]14[14N]3[16O]5, 1.00000
110	102.03385123558803	69.60630226135254	3561421.75		3413845.0	junk, 0.93500; junk, 0.06500
111	191.10254409620882	1428.6899820963542	3410908.5	2550670.25	829590.25	905, 2-acetamido-5-oxopentanoic acid, M+NH4, [12C]7[1H]15[14N]2[16O]4, 1.00000
112	94.04513816647079	2135.1099853515625	3360304.0		2525510.5	
113	94.0451306909983	2149.9766438802085	3360304.0	2251330.25	2175535.5	
114	102.03384178300462	1827.9800211588542	3347229.0	2256895.25	2169246.75	junk, 1.00000
115	122.54709117036441	2314.1099853515625	3285345.75		2134483.0	junk, 1.00000
116	122.5470909439992	2314.1099853515625	3285345.75		2134483.0	junk, 1.00000
117	122.54709119798639	2314.1099853515625	3285345.75		2134483.0	junk, 1.00000
118	94.04513588869654	2173.9949951171875	3259803.5		2115778.75	
119	167.01275207444758	2341.7832845052085	3233692.75	1593759.375	1614970.75	
120	94.0451368963419	2189.7249755859375	3222783.0		2002313.375	
121	102.03384686220691	1811.2766927083333	3184903.5	2186810.75	2046268.125	junk, 0.99000; junk, 0.01000
122	81.52049789457752	2154.64501953125	3147464.0		1709595.0	junk, 1.00000
123	217.17981394023548	310.93333943684894	2348850.0	1616299.125	3143088.75	
124	210.07938094927454	828.9439900716146	3137348.25	1540797.125	1350393.875	StdMix1_69, MOPS, M+H, [12C]7[1H]16[14N]1[16O]4[32S]1, 1.00000
125	330.0598257461591	905.031982421875	3096379.25	1627483.25	1032275.875	StdMix1_74, 3'_5'-Cyclic AMP, M+H, [12C]10[1H]13[14N]5[16O]6[31P]1, 1.00000
126	175.11888540586745	1604.7633463541667	3086754.5	2241368.25	759233.625	StdMix1_46, L-Arginine, M+H, [12C]6[1H]15[14N]4[16O]2, 1.00000
127	94.04512682244221	2224.146728515625	3045050.5	1986897.5	1944054.0	
128	167.01270153667565	2222.64990234375		2990371.0		
129	102.03383831622766	1797.1100260416667	2972937.0	2256895.25	1977561.0	junk, 0.94500; junk, 0.05500
130	102.03382082195468	2059.6299641927085	1.0728845E7	2961725.0	2713210.25	junk, 0.57500; junk, 0.42500
131	227.1250038448968	1039.8333536783855	2345772.25	2961402.75	884402.1875	StdMix1_26, Creatinine, 2M+H, [12C]8[1H]15[14N]6[16O]2, 1.00000
132	94.04513101070742	2247.7349853515625	2961289.25		1826898.25	
133	349.05439889423155	883.6539916992188	2952273.5	789071.8125	419869.6875	StdMix1_76, IMP, M+H, [12C]10[1H]14[14N]4[16O]8[31P]1, 1.00000
134	177.10204042157855	980.6779988606771	113310.7890625	2944733.25	491382.40625	StdMix1_23, Serotonin, M+H, [12C]10[1H]13[14N]2[16O]1, 1.00000
135	170.01174470396882	998.7680053710938	2333354.75	2924512.75		StdMix1_77, L-Cysteate, M+H, [12C]3[1H]8[14N]1[16O]5[32S]1, 1.00000
136	170.08101323347628	999.274658203125	2549906.0	2922486.25	3806307.5	StdMix1_19, Pyridoxine, M+H, [12C]8[1H]12[14N]1[16O]3, 0.40000; StdMix1_7, 4-Aminobenzoate, M+CH3OH+H, [12C]8[1H]12[14N]1[16O]3, 0.32000; StdMix1_98, 3-Hydroxyphenylacetate, M+NH4, [12C]8[1H]12[14N]1[16O]3, 0.28000
137	245.07608152939326	538.125	2917353.0	1072961.0	1244473.375	StdMix1_65, Uridine, M+H, [12C]9[1H]13[14N]2[16O]6, 1.00000
138	365.10548942659494	754.3840128580729	2270430.5	2884960.5	1951059.375	StdMix1_87, Maltose, M+Na, [12C]12[1H]22[16O]11[23Na]1, 1.00000
139	233.12831409295825	369.6709899902344		2882047.5		StdMix1_5, Melatonin, M+H, [12C]13[1H]17[14N]2[16O]2, 1.00000
140	355.06349358186253	293.17566935221356	2846622.25	741155.3125	1037588.625	StdMix1_57, Phenolsulfonphthalein, M+H, [12C]19[1H]15[16O]5[32S]1, 1.00000
141	150.05827035869777	830.8519897460938	2221605.5	2842978.5	1104822.0	junk, 0.87500; 15446, 4,6-difluoro-1,3,5-triazin-2-amine, M+NH4, [12C]3[1H]6[19F]2[14N]5, 0.09500; junk, 0.02500; StdMix1_17, L-Methionine, M+H, [12C]5[1H]12[14N]1[16O]2[32S]1, 0.00500
142	94.04512993471214	2295.7149658203125	2835365.5		1736839.375	
