compoundId	compoundName	p.1	p.2	p.3	p.4	p.5	p.combined
9825267	N-[3-[4-(3-aminopropylamino)butylamino]propyl]-6-(benzenesulfonamido)hexanamide	0.0	0.0	0.0	0.0	0.0	0.0
18451502	2-chloro-4-cyclopropyl-3,6-difluoro-5-methylaniline	0.0	0.0	0.0	0.0	0.0	0.0
68748832	lithium;2,4,5-trimethylimidazole-2-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
57313923	3-(3-fluoropropyl)-3-methyldioxasilirane	0.0	0.0	0.0	0.0	0.0	0.0
23696282	sodium;3-hydroxybutanoate	0.0	0.0	0.0	0.0	0.0	0.0
94117	2-[4-(diaminomethylideneamino)butyl]guanidine;dihydrochloride	0.0	0.0	0.0	0.0	0.0	0.0
10798	2-methyl-4,5-dihydro-1H-imidazole	0.995	0.845	0.21	0.0	0.0	0.41
13641132	3,5-dimethyl-2-phenyl-1-propan-2-ylazaphosphinine	0.0	0.0	0.0	0.0	0.0	0.0
60101099	methyl(trimethylsilyloxy)aluminum	0.0	0.0	0.0	0.0	0.0	0.0
93602	azanium;2-hydroxyethanesulfonate	0.0	0.0	0.0	0.0	0.0	0.0
10952334	tert-butyl(diphenyl)silicon	0.23	0.0	0.0	0.0	0.0	0.046
180869	2-[2-bromo-4-(2-methylheptan-2-yl)phenoxy]ethanol	0.68	0.68	0.165	0.0	0.0	0.305
9970381	S-dodecyl but-3-enethioate	0.0	0.0	0.0	0.0	0.0	0.0
87849	bis(prop-2-enyl)carbamodithioic acid	0.0	0.0	0.0	0.0	0.0	0.0
513425	N-[(5S)-6-hydroxy-5-[(4-methylphenyl)sulfonyl-(2-methylpropyl)amino]hexyl]-2-[N-[(3-nitrophenyl)methyl]anilino]acetamide	0.0	0.0	0.0	0.0	0.0	0.0
49907698	[4-[(Z)-[3-[(6-chloro-1,3-benzodioxol-5-yl)methyl]-2,4-dioxo-1,3-thiazolidin-5-ylidene]methyl]-2-ethoxy-6-iodophenyl] 4-chlorobenzenesulfonate	0.0	0.0	0.0	0.0	0.0	0.0
68297001	2-[2-[2-[2-[1-[4-(4,8-dimethylnonyl)-2-[1-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]-2-methoxyethyl]cyclohexyl]-2-methoxyethoxy]ethoxy]ethoxy]ethoxy]ethanol	0.0	0.0	0.0	0.0	0.0	0.0
394910	(4-acetamidophenyl)sulfonyl N,N-diethylcarbamodithioate	0.0	0.0	0.0	0.0	0.0	0.0
301475	methyl 3'a-methylspiro[1,3-dithiolane-2,2'-3,4,5,6,7,7a-hexahydro-1H-indene]-1'-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
216429	3-(dichloromethylsilyl)propyl dodecanoate	0.0	0.0	0.0	0.0	0.0	0.0
110652	3-[1-methyl-1-[2-(1-methyl-2-pyridin-3-ylpyrrolidin-1-ium-1-yl)ethyl]pyrrolidin-1-ium-2-yl]pyridine;dibromide	0.0	0.0	0.0	0.0	0.0	0.0
324572	(2-cyclohexyliminocyclopentanecarbothioyl)sulfanyl 2-cyclohexyliminocyclopentane-1-carbodithioate	0.0	0.0	0.0	0.0	0.0	0.0
194524	benzyl N-[(3S)-1-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-2,5-dioxopyrrolidin-3-yl]carbamate	0.0	0.0	0.0	0.0	0.0	0.0
64545	2-[[2-(1-adamantyl)acetyl]amino]ethyl carbamimidothioate	0.0	0.0	0.0	0.0	0.0	0.0
355879	4,4-diazido-2-methylpyrimido[1,6-a]benzimidazole-1,3-dione	0.0	0.0	0.0	0.0	0.0	0.0
3715150	1-[bis(4-fluorophenyl)methyl]-4-[4-bromo-2-(trifluoromethoxy)phenyl]sulfonylpiperazine	0.0	0.0	0.0	0.0	0.0	0.0
330365	4-[[5-[(3,5-dioxo-1,2,4-triazolidin-4-yl)methyl]-2,4-dimethylphenyl]methyl]-1,2,4-triazolidine-3,5-dione	0.0	0.0	0.0	0.0	0.0	0.0
21896990	azanium;dichloromethane;methanol;hydroxide	0.005	0.005	0.005	0.0	0.0	0.003
4401975		0.0	0.0	0.0	0.0	0.0	0.0
21585139	methane;hydrate	0.845	0.845	0.835	0.0	0.0	0.505
151704	10-methoxy-2,7-dimethyl-1,6a,7,7a,11a,11b-hexahydropyrido[4,3-c]carbazol-7-ium;iodide	0.0	0.0	0.0	0.0	0.0	0.0
24797836	[(3S)-1-azabicyclo[2.2.2]octan-3-yl] 2-(methylamino)benzoate	1.0	1.0	0.51	0.0	0.0	0.502
587018	2-(4-fluorobenzenecarbothioyl)sulfanylacetic acid	0.0	0.0	0.0	0.0	0.0	0.0
25273	benzyl-bis(2-chloroethyl)azanium;chloride	0.0	0.0	0.0	0.0	0.0	0.0
468860	1-(benzenesulfonyl)-2-(2,6-difluorophenyl)benzimidazole	0.0	0.0	0.0	0.0	0.0	0.0
23461293	chloro(trimethyl)silane;pyridine	1.0	0.83	0.255	0.0	0.0	0.417
646997	N-[2-[1,3-benzodioxol-5-yl-[2-(cyclopentylamino)-2-oxo-1-thiophen-2-ylethyl]amino]-2-oxoethyl]furan-2-carboxamide	0.0	0.0	0.0	0.0	0.0	0.0
3392024	2-(4-chlorophenyl)-4-fluoro-7-methyl-2,3-dihydro-1H-indole	0.0	0.0	0.0	0.0	0.0	0.0
381952	2-amino-3-[hexadecyl(hydroxy)phosphoryl]oxypropanoic acid;azane	0.0	0.0	0.0	0.0	0.0	0.0
43950	2-chloro-12,13-dimethoxy-6-phenyl-7,9,10,14b-tetrahydroisoquinolino[2,1-d][1,4]benzodiazepine	0.0	0.0	0.0	0.0	0.0	0.0
2804552	O-ethyl (2-chloro-6-fluorophenyl)methylsulfanylmethanethioate	0.0	0.0	0.0	0.0	0.0	0.0
132403	N-methyl-N-[(1R,2R)-2-pyrrolidin-1-ylcyclohexyl]-4-(trifluoromethyl)benzamide	0.985	0.985	0.02	0.0	0.0	0.398
17911659	2,4,6-triethyl-1,3,5-triazinane-1,3,5-triamine	0.0	0.0	0.0	0.0	0.0	0.0
394606	2-trimethylsilylethyl 4-[ethyl(methoxy)phosphoryl]-3,6-dihydro-2H-pyridine-1-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
493824	(2S)-1-[(2S,4R)-4-benzyl-2-hydroxy-5-[[(3S,4S)-3-hydroxy-3,4-dihydro-2H-chromen-4-yl]amino]-5-oxopentyl]-N-cyclopropyl-4-(2-furo[3,2-c]pyridin-2-ylpropan-2-yl)piperazine-2-carboxamide	0.0	0.0	0.0	0.0	0.0	0.0
146005	2-chloroethyl N-hydroxycarbamate	0.0	0.0	0.0	0.0	0.0	0.0
297549	2,3,4,5-tetrafluorobenzoic acid	0.0	0.0	0.0	0.0	0.0	0.0
54483	2-hydroxy-2-oxoacetate;2-pyrrolidin-1-ium-1-ylethyl N-[2-(ethoxymethyl)phenyl]carbamate	0.0	0.0	0.0	0.0	0.0	0.0
254587	N-(4-amino-6-chloropyrimidin-5-yl)acetamide	0.0	0.0	0.0	0.0	0.0	0.0
9797172	2-[6-[[amino-(diaminomethylideneamino)methylidene]amino]hexyl]-1-(diaminomethylidene)guanidine;hydrochloride	0.01	0.01	0.005	0.0	0.0	0.005
449707	(8R,9S,10R,13S,14S,16S,17R)-16-fluoranyl-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	0.0	0.0	0.0	0.0	0.0	0.0
78438	N-[anilino(phenyl)phosphoryl]aniline	0.0	0.0	0.0	0.0	0.0	0.0
2803352	1-(oxolan-2-ylmethyl)-3-(2,2,3-trimethyl-3-bicyclo[2.2.1]heptanyl)thiourea	0.49	0.49	0.49	0.0	0.0	0.294
1285029	2-[[3-(4-bromophenyl)-4-oxo-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidin-2-yl]sulfanyl]-N-(1H-indazol-6-yl)acetamide	0.0	0.0	0.0	0.0	0.0	0.0
275367	4-[(4-aminophenyl)methylcarbamoylamino]benzenesulfonyl fluoride	0.0	0.0	0.0	0.0	0.0	0.0
389905	2-[3-(chloromethyl)-6-nitro-2,3-dihydroindole-1-carbonyl]-N-(2-pyridin-2-ylethyl)-1H-indole-6-carboxamide;hydrochloride	0.0	0.0	0.0	0.0	0.0	0.0
198606	3-(1,3-dimethyl-2,6-dioxopurin-7-yl)propane-1-sulfonic acid;3-(4-phenylpiperazin-1-yl)propane-1,2-diol	0.01	0.01	0.01	0.01	0.0	0.008
1678499	ethyl 2-[[4-[[1-(4-butylphenyl)-4-chloro-2,5-dioxopyrrol-3-yl]amino]benzoyl]amino]-4-methyl-1,3-thiazole-5-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
8062	butanedinitrile	1.0	1.0	1.0	1.0	1.0	1.0
24377	N-[4-[1-hydroxy-2-(methylamino)propyl]phenyl]methanesulfonamide	0.0	0.0	0.0	0.0	0.0	0.0
182207	(2R)-2,4-dihydroxy-3,3-dimethyl-1-oxo-1-[[3-oxo-3-(2-sulfosulfanylethylamino)propyl]amino]butane	0.0	0.0	0.0	0.0	0.0	0.0
3219917	1-(2,6-dimethylpiperidin-1-yl)-2-[4-[2-methyl-5-(trifluoromethyl)benzimidazol-1-yl]piperidin-1-yl]ethanone	0.0	0.0	0.0	0.0	0.0	0.0
1031995	2-[[2-(3,4-dimethoxyphenyl)ethyl-[(2-fluorophenyl)methyl]amino]methyl]-N-[(4-fluorophenyl)methyl]-1,3-thiazole-4-carboxamide	0.0	0.0	0.0	0.0	0.0	0.0
136464	2,2,2-trifluoro-1-thiophen-2-ylethanone	0.15	0.15	0.15	0.0	0.0	0.09
59262299	1-deuterioocta-1,3,5,7-tetrayne	0.0	0.0	0.0	0.0	0.0	0.0
743466	N'-[(2-chloro-6-fluorophenyl)methyl]-N,N,N'-trimethylethane-1,2-diamine	0.0	0.0	0.0	0.0	0.0	0.0
124238	4-[1-(3-fluoro-4-phenylphenyl)ethyl]-N-methyl-1,3-thiazol-2-amine	0.0	0.0	0.0	0.0	0.0	0.0
509346	N-[5-(2-anilinoethylamino)-1,3,4-thiadiazol-2-yl]-2-ethoxynaphthalene-1-carboxamide	0.0	0.0	0.0	0.0	0.0	0.0
96094	1-fluoro-4-[(4-fluorophenyl)methyl]benzene	0.0	0.0	0.0	0.0	0.0	0.0
127382		0.0	0.0	0.0	0.0	0.0	0.0
23214	2-[4-(1,3-benzodioxol-5-ylmethyl)piperazin-1-yl]-1-phenylethanone	0.0	0.0	0.0	0.0	0.0	0.0
360857		0.91	0.91	0.91	0.8	0.525	0.811
582370	4-bromobutoxy-tert-butyl-dimethylsilane	0.0	0.0	0.0	0.0	0.0	0.0
833251	N-[(4-iodophenyl)carbamothioyl]butanamide	0.0	0.0	0.0	0.0	0.0	0.0
523690	trimethylsilyl 2-(1-trimethylsilyloxyprop-2-enylideneamino)acetate	0.0	0.0	0.0	0.0	0.0	0.0
2800031	N-[(4-chlorophenyl)sulfonylamino]-N'-[4-[5-thiophen-2-yl-3-(trifluoromethyl)pyrazol-1-yl]phenyl]sulfonylpyrrolidine-1-carboximidamide	0.0	0.0	0.0	0.0	0.0	0.0
11252	3-chlorobutan-2-ol	0.0	0.0	0.0	0.0	0.0	0.0
378684	dimethyl-bis[3-(2-nitroimidazol-1-yl)propyl]azanium;iodide	0.0	0.0	0.0	0.0	0.0	0.0
20284353	trihydrate;hydroiodide	0.0	0.0	0.0	0.0	0.0	0.0
721541	S-(4-fluorophenyl) benzenecarbothioate	1.0	1.0	1.0	1.0	0.09	0.818
625858	1-[5-(3-chloro-4-fluorophenyl)furan-2-yl]-N-(1,2,4-triazol-4-yl)methanimine	0.0	0.0	0.0	0.0	0.0	0.0
532597	ethenyl-diphenyl-(4-phenylmethoxyphenoxy)silane	1.0	1.0	0.8	0.005	0.0	0.561
57349412	2,3-dihydroxybutanedioate;manganese(2+);hydrate	0.0	0.0	0.0	0.0	0.0	0.0
4399103	[2-(11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl)-2-oxoethyl] 4-[2-(4-fluorophenyl)ethylamino]-4-oxobutanoate	0.0	0.0	0.0	0.0	0.0	0.0
9945031	4-N-[(2,4-difluorophenyl)methyl]-3-N-(2,2-dimethylpropyl)-2,5-dimethylpyrazole-3,4-diamine	0.0	0.0	0.0	0.0	0.0	0.0
71301	1-(6-fluoro-3,4-dihydro-2H-chromen-2-yl)-2-[[2-(6-fluoro-3,4-dihydro-2H-chromen-2-yl)-2-hydroxyethyl]amino]ethanol	0.0	0.0	0.0	0.0	0.0	0.0
4127	methyl 2-(3-fluoro-4-phenylphenyl)propanoate	0.0	0.0	0.0	0.0	0.0	0.0
450590	2-[(2-amino-3-phenylpropanoyl)amino]acetic acid	0.0	0.0	0.0	0.0	0.0	0.0
45122289	2-[(3,3-dichloro-2-fluoroprop-2-enoyl)amino]-2-methylpropanoic acid	0.0	0.0	0.0	0.0	0.0	0.0
408258	ethyl 2-(3-methyl-2,4,5-trioxocyclopentyl)-2-oxoacetate;sulfuric acid	0.0	0.0	0.0	0.0	0.0	0.0
644238	(3R,4S,5S,6R)-5-(1-carboxyethenoxy)-6-fluoro-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid	0.0	0.0	0.0	0.0	0.0	0.0
23707688	sodium;ethane-1,2-diamine;chloride	0.0	0.0	0.0	0.0	0.0	0.0
626663	triethyl triethoxysilyl silicate	0.015	0.015	0.01	0.0	0.0	0.008
1067921	3,3,6,6-tetramethyl-9-thiophen-2-yl-4,5,7,9-tetrahydro-2H-xanthene-1,8-dione	0.68	0.68	0.68	0.68	0.0	0.544
533407	trimethylsilyl 2-acetamido-3-(4-trimethylsilyloxyphenyl)propanoate	0.0	0.0	0.0	0.0	0.0	0.0
10264	2,3,4,5-tetrahydroxypentanoic acid	1.0	1.0	1.0	1.0	1.0	1.0
412111	5-(furan-2-ylmethylidene)-2-sulfanylidene-3-(9H-xanthen-9-yl)-1,3-thiazolidin-4-one	0.0	0.0	0.0	0.0	0.0	0.0
12205548	1,1,1-trideuteriobutane	1.0	1.0	1.0	1.0	1.0	1.0
1667	5-(aziridin-1-yl)-3-(hydroxymethyl)-2-(3-hydroxypropyl)-1-methylindole-4,7-dione	1.0	1.0	0.015	0.0	0.0	0.403
11104705	(5S)-3-[(E,13S,14S,17R,18R)-14,17-dihydroxy-13,18-bis(methoxymethoxy)triacont-8-en-10-ynyl]-5-methyl-3-phenylsulfanyloxolan-2-one	0.0	0.0	0.0	0.0	0.0	0.0
15433	N,N-dimethyldodecan-1-amine oxide	0.0	0.0	0.0	0.0	0.0	0.0
783443	2-[(3-bromo-4-fluorophenyl)methyl-propylamino]ethanol	0.0	0.0	0.0	0.0	0.0	0.0
11747079	tert-butyl-[phenyl(trimethylsilyl)methylidene]phosphane	0.0	0.0	0.0	0.0	0.0	0.0
10607887	(1S,2S,3R,4S,5S)-5-amino-1-[hydroxy(tritio)methyl]cyclohexane-1,2,3,4-tetrol	0.0	0.0	0.0	0.0	0.0	0.0
20617201	[(3R,4S,5S)-2,4-dihydroxy-5-(hydroxymethyl)oxolan-3-yl]oxysilicon	0.0	0.0	0.0	0.0	0.0	0.0
11571190	2-[2-[[5-(4-amino-2-oxopyrimidin-1-yl)-1,3-oxathiolan-2-yl]methoxycarbonyloxy]ethyldisulfanyl]ethyl [(3R)-3-azido-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl carbonate	0.0	0.0	0.0	0.0	0.0	0.0
20030785	2-methyl-4-N-[5-[4-(piperidin-1-ylmethyl)pyrazol-1-yl]oxypentyl]-3H-1,2,4-triazole-4,5-diamine	0.0	0.0	0.0	0.0	0.0	0.0
10129884	chromium-50	0.0	0.0	0.0	0.0	0.0	0.0
4444232	potassium;benzenesulfonyl(ethoxycarbonyl)azanide	0.0	0.0	0.0	0.0	0.0	0.0
18914747	[(4-chlorophenyl)sulfonyl-propylamino] thiohypochlorite	0.0	0.0	0.0	0.0	0.0	0.0
17749122	disodium;oxomethanediolate	0.0	0.0	0.0	0.0	0.0	0.0
1617813	(6R,6aS,9S)-6-(4-fluorophenyl)-5-hexanoyl-3-methyl-9-phenyl-6a,8,9,10-tetrahydro-6H-benzo[b][1,4]benzodiazepin-7-one	0.0	0.0	0.0	0.0	0.0	0.0
22104093	3-(4-fluorophenyl)prop-2-ynoyl chloride	0.0	0.0	0.0	0.0	0.0	0.0
264345	6-chloro-7-methoxy-2,1-benzoxazole-3-carboxylic acid	0.0	0.0	0.0	0.0	0.0	0.0
479212	[(2S,3S,5R)-3-azido-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl bis(4-methoxyphenyl) phosphate	0.0	0.0	0.0	0.0	0.0	0.0
102214	3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecyl 2-methylprop-2-enoate	0.0	0.0	0.0	0.0	0.0	0.0
396349	4-(6-fluoro-1,3-benzothiazol-2-yl)aniline	0.0	0.0	0.0	0.0	0.0	0.0
597562	3-amino-3-[4-amino-6-(dimethylamino)-1,3,5-triazin-2-yl]propan-1-ol	0.0	0.0	0.0	0.0	0.0	0.0
22841829	N-(2-aminoethyl)-2-[(1,1-dideuterio-4-phenylbutyl)amino]acetamide	0.0	0.0	0.0	0.0	0.0	0.0
23679435	sodium;(E)-4-methoxy-4-oxobut-2-enoate	0.0	0.0	0.0	0.0	0.0	0.0
2795220		0.0	0.0	0.0	0.0	0.0	0.0
127592	5-(dimethylamino)-N-[(2R,3R,4R,5R)-3,4,5,6-tetrahydroxy-1-oxohexan-2-yl]naphthalene-1-sulfonamide	0.0	0.0	0.0	0.0	0.0	0.0
750333	2-(2,5-dioxopyrrolidin-1-yl)ethyl (2S,6R)-2,6-dimethylmorpholine-4-carbodithioate	0.0	0.0	0.0	0.0	0.0	0.0
377673	1-(5-aminotetrazol-1-yl)-3-(2-chloroethyl)urea	0.075	0.075	0.04	0.0	0.0	0.038
663224	hydron;(1S)-2-(1H-indol-3-yl)-1-[5-(3-methylbut-2-enylsulfanyl)-1,3,4-oxadiazol-2-yl]ethanamine;chloride	0.0	0.0	0.0	0.0	0.0	0.0
17803183	2,3,6-trichloro-4-(trifluoromethyl)phenol	0.0	0.0	0.0	0.0	0.0	0.0
35327	2-chloro-N-(2-chloroethyl)-N-[(4-ethylphenyl)methyl]ethanamine	0.0	0.0	0.0	0.0	0.0	0.0
59966037	4-N-deuterio-2-N,2-N,4-N,6-tetramethyl-1,3,5-triazine-2,4-diamine	0.0	0.0	0.0	0.0	0.0	0.0
10121440	[8-[3-hydroxy-7-oxo-7-piperidin-1-yl-5-(2,2,2-trifluoroacetyl)oxyheptyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2,2-dimethylbutanoate	0.0	0.0	0.0	0.0	0.0	0.0
6451453	triazanium;hydroxy-(1-hydroxy-1-phosphonatoethyl)phosphinate	0.0	0.0	0.0	0.0	0.0	0.0
66591377	diphenylmethanone;sodium	0.0	0.0	0.0	0.0	0.0	0.0
2761447	(4-bromo-2-fluorophenyl)methanethiol	1.0	1.0	1.0	0.0	0.0	0.6
128123	6-chloro-1-[3-(dimethylamino)propyl]-3-methylquinoxalin-2-one	0.095	0.095	0.095	0.01	0.0	0.059
507236	2-cyano-N-[(6-nitro-4-oxochromen-3-yl)methylideneamino]acetamide	0.255	0.0	0.0	0.0	0.0	0.051
450835	3-phenyl-3-[1-(phenylmethyl)piperidin-4-yl]piperidine-2,6-dione	0.0	0.0	0.0	0.0	0.0	0.0
1272068	1-[(3-bromophenyl)methyl]-N-[1-(4-methoxyphenyl)ethylideneamino]-4-nitropyrazole-3-carboxamide	0.0	0.0	0.0	0.0	0.0	0.0
32171	2-morpholin-4-ium-4-ylethyl 2-butoxy-3-methoxybenzoate;chloride	0.0	0.0	0.0	0.0	0.0	0.0
