compoundId	compoundName	p.1	p.2	p.3	p.4	p.5	p.combined
10015936	4-fluoro-5-iodo-2-methylsulfanylpyrimidine	0.0	0.0	0.0	0.0	0.0	0.0
94418	(2S)-2-[[(2S)-2-[(2-benzamidoacetyl)amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-4-methylpentanoic acid	0.0	0.0	0.0	0.0	0.0	0.0
401630	phenyl 4-(1-hydroxypropan-2-yl)-2-(2-trimethylsilylethynyl)-2H-quinoline-1-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
22482861	4-chloro-1-fluorocyclohexa-2,4-dien-1-ol	0.0	0.0	0.0	0.0	0.0	0.0
903525	ethyl 4-ethyl-5-methyl-2-[(2,2,2-trifluoroacetyl)amino]thiophene-3-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
11298258	N-(2,6-difluoropyridin-4-yl)nitramide	0.0	0.0	0.0	0.0	0.0	0.0
2153692	N-(1,3-benzodioxol-5-yl)-2-[[4-oxo-1-(4-sulfamoylphenyl)-2H-pyrazolo[3,4-d]pyrimidin-6-yl]sulfanyl]acetamide	0.0	0.0	0.0	0.0	0.0	0.0
724751	[1-(4-fluorophenyl)ethylideneamino]thiourea	0.57	0.55	0.295	0.04	0.0	0.291
356258	3-(4-chlorophenyl)-7,8-dimethoxy-2-piperidin-1-ylbenzo[b][1,8]naphthyridine	0.0	0.0	0.0	0.0	0.0	0.0
476927	[(5R)-3-(3,5-difluoro-4-morpholin-4-ylphenyl)-4,5-dihydro-1,2-oxazol-5-yl]methylcarbamic acid	0.0	0.0	0.0	0.0	0.0	0.0
531280	2,7-dimethyloct-7-en-5-yn-4-yloxy-methyl-diphenylsilane	0.0	0.0	0.0	0.0	0.0	0.0
11094579	2-(trimethyl-$l^{5}-phosphanylidene)acetonitrile	0.0	0.0	0.0	0.0	0.0	0.0
2736374	4-bromo-5-methyl-3-[1,2,2,2-tetrafluoro-1-(1,1,2,2,3,3,3-heptafluoropropoxy)ethyl]-1H-pyrazole	0.0	0.0	0.0	0.0	0.0	0.0
362841	(2R)-2-[[4-[(4-fluorobenzoyl)amino]phenyl]sulfonylamino]-2-phenylacetic acid	0.0	0.0	0.0	0.0	0.0	0.0
195588	(2S)-2-amino-3-(2,6-difluoro-3,4-dihydroxyphenyl)propanoic acid	0.0	0.0	0.0	0.0	0.0	0.0
69591542	1H-imidazole;magnesium;hydrobromide	0.985	0.985	0.0	0.0	0.0	0.394
327187	[6-methoxy-4-[(2,2,2-trifluoroacetyl)amino]-2-[[(2,2,2-trifluoroacetyl)amino]methyl]oxan-3-yl] acetate	0.0	0.0	0.0	0.0	0.0	0.0
123160	trimethyl(sulfanylidene)-$l^{5}-phosphane	0.0	0.0	0.0	0.0	0.0	0.0
1399674	[4-[[(7-benzyl-1,3-dimethyl-2,6-dioxopurin-8-yl)hydrazinylidene]methyl]-2-methoxyphenyl] furan-2-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
13864928	1-(2-chloro-1,1,2-trifluoroethyl)piperidine	0.0	0.0	0.0	0.0	0.0	0.0
2056308	nonyl(phenyl)phosphinic acid	0.0	0.0	0.0	0.0	0.0	0.0
32849	[N'-(2-hydroxy-2-phenylethyl)carbamimidoyl]azanium;carbonate	0.0	0.0	0.0	0.0	0.0	0.0
108158	(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-(chloromethylsulfanyl)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid	0.0	0.0	0.0	0.0	0.0	0.0
66283	N-[bis(dimethylamino)phosphoryl]methanamine	0.0	0.0	0.0	0.0	0.0	0.0
472696	[(3S)-thiolan-3-yl] N-[(2S,3R)-3-hydroxy-4-[(4-methoxyphenyl)sulfonyl-(2-methylpropyl)amino]-1-phenylbutan-2-yl]carbamate	0.0	0.0	0.0	0.0	0.0	0.0
3534951	N-[4-[2,4-bis(2-methylbutan-2-yl)phenoxy]butyl]-2,6-difluorobenzamide	0.0	0.0	0.0	0.0	0.0	0.0
59068667	sodium;3-dimethylphosphanylpropan-1-olate	0.0	0.0	0.0	0.0	0.0	0.0
322754	3-dodecylsulfonyl-1-(furan-2-yl)propan-1-one	0.0	0.0	0.0	0.0	0.0	0.0
57616924	benzyl (E)-3,4,4-trideuteriobut-2-enoate	0.0	0.0	0.0	0.0	0.0	0.0
59337627	sodium;cyano(ethylcarbamoyl)azanide	0.0	0.0	0.0	0.0	0.0	0.0
1284209	methyl 3-[4-cyano-3-methyl-1-[4-(3-phenylprop-2-enyl)piperazin-1-yl]pyrido[1,2-a]benzimidazol-2-yl]propanoate	0.0	0.0	0.0	0.0	0.0	0.0
397940	N-(3-aminopropyl)-N-[3-[3-aminopropyl-(2,4,6-trimethylphenyl)sulfonylamino]oxypropoxy]-2,4,6-trimethylbenzenesulfonamide;hydrochloride	0.0	0.0	0.0	0.0	0.0	0.0
653220	N-(5-methyl-1,3,4-thiadiazol-2-yl)-2-pyridin-2-ylsulfanylacetamide	0.0	0.0	0.0	0.0	0.0	0.0
87872	copper;pyridine-2,3-dicarboxylate	0.0	0.0	0.0	0.0	0.0	0.0
236770	2-(4-chlorophenyl)phenanthro[9,10-d][1,3]oxazole	0.595	0.09	0.085	0.0	0.0	0.154
7018524	3-[5-methyl-3-(trifluoromethyl)pyrazol-1-yl]propan-1-amine	0.0	0.0	0.0	0.0	0.0	0.0
3828	4,9-dimethoxy-7-methylfuro[3,2-g]chromen-5-one	0.0	0.0	0.0	0.0	0.0	0.0
61391	4-(3-methyl-5-oxo-4-phenyldiazenyl-4H-pyrazol-1-yl)benzenesulfonic acid	0.0	0.0	0.0	0.0	0.0	0.0
330403	4-[tert-butyl(dimethyl)silyl]oxy-5-fluoro-1-(oxolan-2-yl)pyrimidin-2-one	0.0	0.0	0.0	0.0	0.0	0.0
6847048	2-amino-1-[1-(carbamohydrazonoylhydrazinylidene)propan-2-ylideneamino]guanidine	0.02	0.02	0.02	0.0	0.0	0.012
6518	[3-nitrooxy-2,2-bis(nitrooxymethyl)propyl] nitrate	0.0	0.0	0.0	0.0	0.0	0.0
27235	3-methoxy-4-[5-(4-methoxyphenyl)pentoxy]aniline	0.0	0.0	0.0	0.0	0.0	0.0
1056593	N-[5-tert-butyl-2-(2,4-dimethylphenyl)pyrazol-3-yl]-2-[furan-2-ylmethyl-[(3-methoxyphenyl)carbamoyl]amino]acetamide	0.0	0.0	0.0	0.0	0.0	0.0
59818347	2,2,2-trideuterio-1-(2-fluoro-4-methoxyphenyl)ethanone	1.0	1.0	1.0	0.18	0.0	0.636
64342	1-[2-[(1-amino-2-sulfosulfanylethylidene)amino]ethyl]adamantane	0.0	0.0	0.0	0.0	0.0	0.0
392233	(4bR,11bS)-12-(4-methylphenyl)sulfonyl-5,6,11,11b-tetrahydro-4bH-indolo[2,3-a]carbazole	0.0	0.0	0.0	0.0	0.0	0.0
11108401	zinc;benzonitrile	0.0	0.0	0.0	0.0	0.0	0.0
149321	2-(benzo[b]pyren-6-ylmethylamino)-2-methylpropane-1,3-diol;methanesulfonic acid	0.0	0.0	0.0	0.0	0.0	0.0
4703	3-(4-methylphenyl)-2-sulfanylprop-2-enoic acid	0.0	0.0	0.0	0.0	0.0	0.0
435005	2-(4-tert-butylpyridin-2-yl)-1,1,1,3,3,3-hexafluoropropan-2-ol	0.0	0.0	0.0	0.0	0.0	0.0
119083	(2R)-2-acetamido-3-(3-hydroxypropylsulfanyl)propanoic acid	0.425	0.425	0.425	0.02	0.0	0.259
88796	2-isocyanato-1,3-bis[(2-isocyanatophenyl)methyl]benzene	1.0	1.0	1.0	1.0	0.0	0.8
93113	1-[6-[carbamoyl(nitroso)amino]hexyl]-1-nitrosourea	0.45	0.45	0.45	0.0	0.0	0.27
180328	3-[[4-(ethylamino)-6-(propan-2-ylamino)-1,3,5-triazin-2-yl]sulfanyl]propanoic acid	0.0	0.0	0.0	0.0	0.0	0.0
379130	2-[(4-chlorophenyl)methylidene]-6,7-dimethoxy-3,4-dihydronaphthalen-1-one	0.0	0.0	0.0	0.0	0.0	0.0
142765	2-[[(2S)-2-amino-5-(diaminomethylideneamino)pentanoyl]amino]acetic acid	0.0	0.0	0.0	0.0	0.0	0.0
28852	methyl 5-methyl-3-(5-nitrofuran-2-yl)-1,2-oxazole-4-carboxylate	0.0	0.0	0.0	0.0	0.0	0.0
186169	N-(5-chloro-2-methoxyphenyl)-2-hydroxy-3-nitrobenzamide	0.0	0.0	0.0	0.0	0.0	0.0
222105	5-bromo-3-cyclohexyl-2-hydroxybenzamide	0.0	0.0	0.0	0.0	0.0	0.0
10098093	[(6R,7R)-4-(dimethylamino)-6,7-diphenyl-2-bicyclo[2.2.2]octanyl] 4-tert-butylbenzenesulfonate	0.0	0.0	0.0	0.0	0.0	0.0
10366821	[(2R,3S)-5-[tert-butyl(diphenyl)silyl]oxy-3-hydroxy-2-methylpentyl] 2,2-dimethylpropanoate	0.0	0.0	0.0	0.0	0.0	0.0
6102	3-[1-hydroxy-2-(methylamino)ethyl]phenol;hydrochloride	0.0	0.0	0.0	0.0	0.0	0.0
180257	8-fluoro-N-[2-(4-phenoxyphenyl)ethyl]quinazolin-4-amine	0.0	0.0	0.0	0.0	0.0	0.0
326123	dipropyl 2-iodobut-2-enedioate	1.0	0.12	0.0	0.0	0.0	0.224
541253	1-[7-acetyl-9-[(4-chlorophenyl)methylidene]fluoren-2-yl]ethanone	0.0	0.0	0.0	0.0	0.0	0.0
52296	diethyl-[6-[(6-methoxy-1,3-benzothiazol-4-yl)amino]hexyl]azanium;2-hydroxy-2-oxoacetate	0.0	0.0	0.0	0.0	0.0	0.0
3621115	2-cyano-N-[4-(difluoromethoxy)phenyl]-3-[2-morpholin-4-yl-3-[(4-nitrophenyl)methylidene]cyclopenten-1-yl]prop-2-enamide	0.0	0.0	0.0	0.0	0.0	0.0
348665	N'-[4,6-di(piperidin-1-yl)-1,3,5-triazin-2-yl]-4-methylbenzenesulfonohydrazide	0.0	0.0	0.0	0.0	0.0	0.0
70572	3-[2-carboxyethylsulfanyl(phenyl)methyl]sulfanylpropanoic acid	0.0	0.0	0.0	0.0	0.0	0.0
11139	4-[2-(dimethylamino)-1-hydroxyethyl]benzene-1,2-diol	0.34	0.34	0.31	0.145	0.0	0.227
47906	2-(2,4-dimethylphenyl)-3-(2H-tetrazol-5-ylmethylsulfanyl)-1H-indole	0.0	0.0	0.0	0.0	0.0	0.0
1140936	1-[(R)-(1-cyclopentyltetrazol-5-yl)-(4-fluorophenyl)methyl]-2,3-dihydroindole	0.0	0.0	0.0	0.0	0.0	0.0
10035566	lithium;1-methyl-5-(phenoxymethyl)tetrazole	0.685	0.685	0.685	0.685	0.045	0.557
124437	2-[4-phenyl-1-[4-(quinolin-2-ylmethoxy)phenyl]butyl]sulfanylacetic acid	0.0	0.0	0.0	0.0	0.0	0.0
163837	2-[carboxymethyl-[[5-(2,3-diaminopropanoylamino)-2-hydroxyphenyl]methyl]amino]acetic acid	1.0	1.0	0.985	0.0	0.0	0.597
83996	2-(3-aminopropylamino)ethylsulfanylphosphonic acid;hydrate	0.0	0.0	0.0	0.0	0.0	0.0
2781673	3-[5-[2-(trifluoromethoxy)phenyl]furan-2-yl]prop-2-enoic acid	0.0	0.0	0.0	0.0	0.0	0.0
